IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.206.150,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,0.35
47.57.245.232,80,80,false,SJC,North America,San Jose,41,0.35
47.57.233.126,443,443,true,SJC,North America,San Jose,83,0.35
8.218.18.235,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,0.34
47.243.90.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,0.34
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,128,0.33
47.57.245.232,443,443,true,SJC,North America,San Jose,88,0.33
47.245.102.52,8443,8443,true,SIN,Asia Pacific,Singapore,33,0.33
8.219.194.170,80,80,false,SIN,Asia Pacific,Singapore,117,0.33
8.219.84.214,8080,8080,false,SIN,Asia Pacific,Singapore,6,0.32
47.76.146.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,0.30
8.210.100.23,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,0.30
47.243.74.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,0.30
8.210.66.190,2086,2086,false,HKG,Asia Pacific,Hong Kong,50,0.29
47.76.178.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,0.28
47.76.204.76,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,0.27
47.243.206.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,0.26
8.219.199.220,2053,2053,true,SIN,Asia Pacific,Singapore,127,0.26
47.57.14.118,80,80,false,SJC,North America,San Jose,42,0.25
8.211.7.213,443,443,true,FRA,Europe,Frankfurt,278,0.24
8.212.19.60,443,443,true,SJC,North America,San Jose,53,0.24
47.57.14.118,443,443,true,SJC,North America,San Jose,78,0.24
8.212.19.60,80,80,false,SJC,North America,San Jose,40,0.23
8.219.174.142,2083,2083,true,SIN,Asia Pacific,Singapore,24,0.23
47.76.159.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,43,0.23
47.76.178.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,64,0.22
47.76.159.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,38,0.21
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,0.21
47.57.14.118,443,443,true,SJC,North America,San Jose,50,0.21
47.251.22.102,443,80,false,SJC,North America,San Jose,175,0.20
47.76.146.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,0.20
47.251.22.102,443,80,false,SJC,North America,San Jose,172,0.20
47.76.204.76,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,0.20
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,50,0.17
47.76.146.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,73,0.17
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,26,0.14
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,51,0.14
47.254.65.110,443,443,true,SJC,North America,San Jose,175,0.14
47.254.65.110,443,443,true,SJC,North America,San Jose,176,0.13
47.57.13.107,80,80,false,HKG,Asia Pacific,Hong Kong,70,0.13
149.129.8.215,443,443,true,SJC,North America,San Jose,138,0.12
47.57.13.107,80,80,false,HKG,Asia Pacific,Hong Kong,52,0.12
47.237.83.20,8443,8443,true,SIN,Asia Pacific,Singapore,71,0.12
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,0.11
8.212.19.60,80,80,false,SJC,North America,San Jose,46,0.10
47.237.88.53,80,80,false,SIN,Asia Pacific,Singapore,49,0.10
47.245.86.230,8880,8880,false,SIN,Asia Pacific,Singapore,4,0.09
8.219.62.200,80,80,false,SIN,Asia Pacific,Singapore,15,0.09
8.222.162.45,2096,2096,true,SIN,Asia Pacific,Singapore,59,0.08
47.237.88.53,80,80,false,SIN,Asia Pacific,Singapore,33,0.07
47.237.78.149,80,80,false,SIN,Asia Pacific,Singapore,28,0.07
8.222.249.190,2052,2052,false,SIN,Asia Pacific,Singapore,56,0.07
8.212.12.98,80,80,false,HKG,Asia Pacific,Hong Kong,47,0.07
47.76.146.1,443,443,true,HKG,Asia Pacific,Hong Kong,53,0.07
8.218.74.119,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,0.07
47.245.84.124,80,80,false,SIN,Asia Pacific,Singapore,24,0.06
8.219.191.110,8080,8080,false,SIN,Asia Pacific,Singapore,23,0.06
47.237.95.192,80,80,false,SIN,Asia Pacific,Singapore,44,0.05
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,30,0.05
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,84,0.05
47.237.78.149,80,80,false,SIN,Asia Pacific,Singapore,36,0.05
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,0.05
149.129.8.215,80,80,false,SJC,North America,San Jose,195,0.04
8.222.244.192,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.04
8.218.148.106,80,80,false,HKG,Asia Pacific,Hong Kong,58,0.04
8.219.202.130,2082,2082,false,SIN,Asia Pacific,Singapore,31,0.04
47.57.14.118,80,80,false,SJC,North America,San Jose,43,0.03
8.219.111.147,8880,8880,false,SIN,Asia Pacific,Singapore,6,0.03
8.218.148.106,443,443,true,HKG,Asia Pacific,Hong Kong,74,0.03
47.242.68.32,80,80,false,HKG,Asia Pacific,Hong Kong,39,0.03
47.245.102.52,80,80,false,SIN,Asia Pacific,Singapore,15,0.03
8.212.12.98,80,80,false,HKG,Asia Pacific,Hong Kong,59,0.03
47.242.68.32,443,443,true,HKG,Asia Pacific,Hong Kong,65,0.03
